"wilcox_stats"	"wilcox_p"	"padj"
"Blautia obeum"	631	0.827901808360114	0.997496726485359
"Blautia wexlerae"	635.5	0.786799245472562	0.997496726485359
"uncultured Blautia sp."	613	0.995311936297785	1
"Blautia sp. CAG:257"	597	0.865565371935735	0.997496726485359
"[Clostridium] symbiosum"	631	0.828984480696853	0.997496726485359
"[Clostridium] clostridioforme"	541	0.409783923472026	0.997496726485359
"[Clostridium] bolteae"	561	0.555180074337601	0.997496726485359
"[Clostridium] asparagiforme"	311	0.000412803429728398	0.0324199564835498
"[Clostridium] aldenense"	545	0.436934224780141	0.997496726485359
"[Clostridium] citroniae"	500	0.189794240656123	0.997496726485359
"[Clostridium] lavalense"	329	0.000900443091486605	0.043221268391357
"Lachnoclostridium sp. YL32"	566.5	0.596838743699471	0.997496726485359
"Clostridioides difficile"	664	0.545051441924291	0.997496726485359
"uncultured Oscillibacter sp."	632	0.818670973753356	0.997496726485359
"uncultured Ruminococcus sp."	620	0.929769573485836	0.997496726485359
"Faecalibacterium prausnitzii"	699	0.31149174689287	0.997496726485359
"Ruminococcaceae bacterium"	672	0.48440262267631	0.997496726485359
"Flavonifractor plautii"	568	0.611360073022031	0.997496726485359
"uncultured Flavonifractor sp."	607	0.95782094108222	0.997496726485359
"Clostridiales bacterium"	574	0.661398527185346	0.997496726485359
"Clostridiales bacterium UBA1707"	580	0.711133280816731	0.997496726485359
"Intestinimonas butyriciproducens"	589	0.791439903623631	0.997496726485359
"[Clostridium] innocuum"	620	0.929765896160535	0.997496726485359
"Erysipelatoclostridium ramosum"	589.5	0.795944841160231	0.997496726485359
"Veillonella parvula"	692	0.350186088331512	0.997496726485359
"Veillonella atypica"	680	0.427589164262034	0.997496726485359
"Veillonella dispar"	674	0.46983783577762	0.997496726485359
"Actinomyces oris"	555	0.506663785081	0.997496726485359
"Actinomyces sp. oral taxon 181"	519	0.275851020817952	0.997496726485359
"Rothia mucilaginosa"	512.5	0.244345454404672	0.997496726485359
"Mycobacteroides abscessus"	581	0.721708417195682	0.997496726485359
"Atopobium parvulum"	649	0.667662399868511	0.997496726485359
"Bacteroides fragilis"	604	0.930224865819452	0.997496726485359
"Bacteroides thetaiotaomicron"	676	0.457950825207643	0.997496726485359
"Bacteroides uniformis"	583	0.739278387567836	0.997496726485359
"Bacteroides vulgatus"	647	0.687007892739608	0.997496726485359
"Bacteroides eggerthii"	589	0.791473772437232	0.997496726485359
"Bacteroides ovatus"	563	0.570975251496448	0.997496726485359
"Bacteroides sp."	649	0.667935940735192	0.997496726485359
"Bacteroides stercoris"	581	0.721708417195682	0.997496726485359
"Bacteroides caccae"	517	0.268649536481817	0.997496726485359
"Bacteroides sp. AR29"	605.5	0.94375017160858	0.997496726485359
"Bacteroides massiliensis"	552.5	0.487799797725043	0.997496726485359
"Bacteroides cellulosilyticus"	531	0.344171602952325	0.997496726485359
"Bacteroides salyersiae"	478	0.116595687408561	0.997496726485359
"Bacteroides plebeius"	520	0.284222005574708	0.997496726485359
"Bacteroides coprocola"	502	0.197971202926949	0.997496726485359
"Bacteroides intestinalis"	521	0.289544199642664	0.997496726485359
"Bacteroides finegoldii"	557	0.521882759897989	0.997496726485359
"Bacteroides dorei"	617	0.958101132752364	0.997496726485359
"Bacteroides xylanisolvens"	699	0.31149174689287	0.997496726485359
"Bacteroides gallinarum"	539.5	0.397475728836732	0.997496726485359
"Bacteroides coprophilus"	519	0.276702442213561	0.997496726485359
"Bacteroides sp. 1_1_30"	650	0.659432435301946	0.997496726485359
"Bacteroides sp. 3_1_13"	670	0.498795241593688	0.997496726485359
"Bacteroides sp. 3_1_23"	653	0.63397154973538	0.997496726485359
"Bacteroides sp. 3_1_33FAA"	494.5	0.168863283912833	0.997496726485359
"Bacteroides sp. 4_1_36"	476	0.110813164855209	0.997496726485359
"Bacteroides sp. 4_3_47FAA"	566	0.592868263170179	0.997496726485359
"Bacteroides sp. 9_1_42FAA"	583.5	0.742134688785764	0.997496726485359
"Bacteroides sp. 1_1_14"	605	0.939086368607283	0.997496726485359
"Bacteroides sp. 2_2_4"	694	0.338198419337336	0.997496726485359
"Bacteroides sp. 3_1_40A"	508.5	0.226107221665937	0.997496726485359
"Bacteroides sp. D2"	649.5	0.663623332190672	0.997496726485359
"Bacteroides sp. D22"	674.5	0.466269925060893	0.997496726485359
"Bacteroides clarus"	497	0.178395314877626	0.997496726485359
"Bacteroides fluxus"	567	0.601001859077157	0.997496726485359
"Bacteroides oleiciplenus"	542	0.414066584378949	0.997496726485359
"Bacteroides sartorii"	617	0.958101132752364	0.997496726485359
"Bacteroides faecis"	572.5	0.646271772962572	0.997496726485359
"Bacteroides sp. HMSC067B03"	636	0.782371038634821	0.997496726485359
"Bacteroides sp. HMSC073E02"	552	0.48440262267631	0.997496726485359
"Bacteroides caecimuris"	674	0.469861149425438	0.997496726485359
"Bacteroides bouchesdurhonensis"	507	0.219233082600448	0.997496726485359
"Bacteroides sp. 43_108"	585.5	0.759947404389351	0.997496726485359
"Bacteroides sp. UBA3406"	660	0.576613444870566	0.997496726485359
"Bacteroides sp. NMBE5"	607	0.957620381943844	0.997496726485359
"Bacteroides sp. AF39-11AC"	589.5	0.795988495517682	0.997496726485359
"Bacteroides sp. AF17-1"	544.5	0.429257867207379	0.997496726485359
"Bacteroides sp. AF25-18"	516.5	0.263927744284699	0.997496726485359
"Bacteroides sp. AF29-11"	576	0.67624311643642	0.997496726485359
"Bacteroides sp. AF32-15BH"	542.5	0.416305417590308	0.997496726485359
"Bacteroides sp. AF39-10AT"	527	0.320034721080638	0.997496726485359
"Bacteroides sp. AM16-13"	632	0.818627271683192	0.997496726485359
"Bacteroides sp. AM23-18"	449	0.0560745668467746	0.997496726485359
"Bacteroides sp. AM25-34"	664	0.54486841657354	0.997496726485359
"Bacteroides sp. AM37-9"	653	0.634033908652365	0.997496726485359
"Bacteroides sp. AM54-2NS"	682	0.413432441551556	0.997496726485359
"Bacteroides sp. CF01-10NS"	753	0.0986353561095217	0.997496726485359
"Bacteroides sp. OF03-11BH"	608	0.967177688237344	0.997496726485359
"Bacteroides sp. AF32-8BH"	578	0.692906107030685	0.997496726485359
"Bacteroides sp. AM56-10ce"	664	0.544995149795088	0.997496726485359
"uncultured Bacteroides sp."	518	0.273774775121263	0.997496726485359
"Bacteroides sp. CAG:754"	650	0.659449185429381	0.997496726485359
"Alistipes finegoldii"	547	0.448412063487547	0.997496726485359
"Porphyromonas sp. 31_2"	600	0.892298737753428	0.997496726485359
"Prevotella sp."	638.5	0.759947404389351	0.997496726485359
"Prevotella copri"	536	0.377277405262528	0.997496726485359
"uncultured Prevotella sp."	579	0.704282200807098	0.997496726485359
"uncultured Prevotellaceae bacterium"	619	0.939509246352009	0.997496726485359
"Paraprevotella clara"	378	0.00606377138672035	0.218295769921933
"Odoribacter splanchnicus"	534	0.362439866662327	0.997496726485359
"Parabacteroides distasonis"	622	0.911685434852919	0.997496726485359
"Parabacteroides merdae"	435	0.0380696008326854	0.997496726485359
"Parabacteroides goldsteinii"	480	0.121895397616713	0.997496726485359
"Parabacteroides johnsonii"	448	0.0545790451812312	0.997496726485359
"Parabacteroides sp. 20_3"	615	0.976539103362158	0.997496726485359
"Parabacteroides sp. D13"	533	0.355942890423321	0.997496726485359
"Parabacteroides sp. D26"	560	0.544484054155679	0.997496726485359
"Parabacteroides sp. SN4"	465	0.0851482492940384	0.997496726485359
