Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
ARGORNPROST-PWY	0	112.154	5.8293	0	0	0	0	0	0	0	0	3.34147	0	7.93273	11.2304	0	263.986	724.537	0	0	0	0	0	0	0	0	0	4.29505	3.81244	0	0	9.45676	0	0	26.8828	17.0344	100.275	0	0	0	12.4486	0	9.29201	0	0	35.0563	0	0	0	4.08355	293.998	78.3417	0	0	160.034	0	0	37.6094	0	0	0	9.35958	0	0	0	0	14.0428	0	0	0	0	4.19296
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	259.427	602.316	0	0	0	247.861	99.0607	13.614	0	96.103	198.611	0	164.214	255.385	18.0703	255.748	94.8842	334.788	0	27.1118	149.057	250.17	31.9988	245.968	191.959	137.973	186.627	222.737	0	252.073	407.183	191.63	264.061	84.5607	370.954	265.063	292.74	0	264.527	258.238	260.508	635.244	13.3719	316.215	397.992	23.2572	105.668	0	225.887	421.118	265.074	207.896	222.479	118.342	286.285	0	238.473	0	13.1394	170.413	104.486	257.424	110.087	344.946	190.944	390.635	247.075	0	138.25	86.0902	255.576
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	258.066	617.625	0	0	0	225.798	85.6499	7.04053	0	72.4169	194.133	0	154.39	225.415	12.3291	250.424	76.9932	304.141	0	51.9249	137.075	253.237	20.3742	243.998	204.639	137.386	158.782	220.636	0	251.379	374.045	181.711	254.432	74.512	344.752	252.696	248.968	0	262.864	230.176	267.659	665.168	16.7129	321.471	426.906	25.2615	132.572	0	219.084	397.725	276.594	194.725	210.41	131.509	469.328	0	23.1342	0	12.5234	146.481	89.7128	247.015	84.2344	364.235	189.812	393.766	263.934	0	119.618	85.566	225.431
ARO-PWY: chorismate biosynthesis I	189.365	323.429	603.287	132.965	0	189.195	383.204	345.711	63.8245	0	5.52839	441	0	388.581	368.417	313.321	225.451	576.046	408.774	339.834	383.723	385.826	307.197	252.707	406.563	413.098	390.013	378.843	327.344	523.804	307.818	513.903	395.865	0	389.328	513.833	116.976	332.111	0	558.898	263.157	394.838	578.187	196.536	412.53	486.247	509.976	266.074	495.561	440.932	394.548	301.594	319.738	360.881	528.469	426.555	133.76	512.642	307.816	85.9886	354.798	654.814	345.642	245.621	378.141	419.923	405.447	437.857	0	397.77	293.94	255.906
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	167.661	188.084	292.199	251.081	227.146	326.296	425.34	488.591	0	36.4512	289.903	0	398.449	424.181	620.673	0	24.8754	112.292	147.28	7.0776	362.887	188.977	402.901	306.689	421.681	426.586	351.759	345.46	0	270.11	302.214	311.077	0	682.415	447.295	152.723	436.178	0	632.004	226.392	276.244	174.237	6.30644	276.708	200.958	404.769	81.8696	461.721	481.142	172.21	170.054	261.396	406.158	28.0455	260.106	0	132.486	0	17.2025	390.357	383.818	330.291	411.6	121.906	378.384	308.737	316.671	0	363.014	384.523	287.921
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	12.8593	0	0	0	0	0	0	11.525	1.90482	0	0	0	0	0	0	0	0	0	0	0	0	22.0843	44.3964	0	54.3478	0	0	0	0	336.94	0	69.6235	0	0	0	1.09377	4.11922	0	20.6977	1.50437	0	0	0	0	0	0	52.4331	0	0	0	0	0	0	0	0	0	43.8609	0	0	0	59.1325	0	0	0	0	4.75933
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	3.92532	0	200.673	187.537	128.688	164.068	274.797	0	0	205.236	0	214.594	220.174	234.271	0	0	214.399	0	14.892	160.589	22.1577	282.313	141.987	201.84	283.284	238.746	271.073	0	239.325	133.919	193.562	0	217.25	361.556	0	300.963	0	8.41893	37.133	53.8282	48.4934	14.3677	184.736	110.723	0	9.46493	0	101.034	0	15.7758	227.621	153.224	0	128.679	0	0	0	30.8543	129.487	7.84714	291.11	11.1778	0	162.645	192.969	58.4211	0	103.724	228.563	30.6036
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0	260.58	545.289	169.784	334.063	234.15	372.454	428.772	291.393	0	21.7512	356.779	0	518.448	449.568	229.759	270.286	728.594	533.698	588.218	273.467	506.353	373.36	226.105	461.114	499.906	430.335	416.29	396.679	0	449.16	462.785	354.863	244.88	631.134	490.32	196.18	559.945	411.031	775.352	294.436	537.54	661.558	181.39	487.979	486.224	540.322	284.871	560.306	413.063	519.571	385.804	400.012	435.728	173.043	594.3	0	848.012	60.8257	654.867	270.016	712.671	531.751	448.47	273.436	320.739	421.888	563.707	0	426.992	250.46	411.51
CALVIN-PWY: Calvin-Benson-Bassham cycle	0	288.84	756.385	156.673	276.492	164.761	491.469	442.352	156.849	0	150.973	428.927	0	341.134	410.254	113.261	315.07	717.333	323.418	10.5527	91.8293	271.273	225.348	110.023	482.936	326.025	325.328	312.326	346.078	421.351	364.422	584.272	361.051	271.008	274.324	569.24	403.884	478.708	0	524.845	335.306	352.209	631.884	52.9042	465.986	642.142	98.0535	83.1365	53.1504	599.35	477.304	494.913	424.258	453.87	424.593	475.983	0	243.968	339.623	100.144	253.739	146.661	397.333	396.062	716.231	465.691	525.52	564.051	0	510.722	207.305	244.927
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.683	71.7351	0	0	0	1.02294	1.03818	0	0	6.20222	1.09831	0	0	0	0	0	0	23.7771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	116.387	0	0	0	7.81215	0	0	0	0	4.59032	0	0	50.8556	0	0	0	8.75798	0	0	6.64951	10.1539	0	0	0	23.2659	8.40391	0	0	9.57847	0	0	0	0	14.6225	0	0	0	0	21.3605	10.3216	0	0	43.7671	17.0822	0	0	0	0	0	132.606	4.65527	5.58531	0	0	0	0	0	0	0	4.89528	21.001	10.5782	0	5.56784	41.7664	0	0	0	0	13.5796
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	156.678	0	0	89.3645	240.585	158.209	17.0789	0	28.9606	207.069	0	210.183	304.704	29.6777	0	0	384.118	0	127.95	138.208	21.2974	76.5804	268.131	240.566	198.307	197.039	190.681	0	80.891	320.464	147.773	0	196.317	136.038	197.286	46.7397	0	482.051	34.5744	52.6921	0	11.0398	240.705	217.646	33.0523	178.507	0	321.138	37.6586	75.3053	112.633	178.291	7.99007	391.625	0	0	0	0	224.532	40.6034	41.1181	11.0769	0	163.983	35.5969	185.544	0	187.158	119.545	45.6044
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0	382.429	543.515	909.425	296.889	210.308	408.852	463.851	430.37	0	545.686	437.593	0	458.912	477.515	515.909	230.399	614.787	459.815	439.905	404.88	489.85	642.96	387.207	526.636	567.74	469.896	417.243	331.215	495.235	307.314	543.441	531.087	239.061	736.064	287.285	545.985	360.989	366.225	778.742	457.279	501.022	553.381	140.716	468.988	474.46	536.223	223.332	563.056	493.072	612.544	467.751	360.746	382.128	618.674	566.029	0	818.697	354.396	531.007	478.21	678.076	363.973	367.344	330.403	394.299	342.885	483.477	0	445.07	447.175	776.356
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0	370.985	477.351	909.425	203.943	183.853	360.648	415.251	430.37	0	477.696	403.282	0	412.56	409.705	563.294	236.599	592.269	349.484	370.071	322.895	441.456	608.105	374.075	441.987	454.252	452.86	370.481	299.152	476.922	264.158	489.291	480.564	218.81	659.59	229.954	458.326	332.959	342.368	648.512	376.967	447.112	470.9	113.683	374.832	396.782	451.309	189.956	453.016	452.779	498.936	397.372	285.674	352.908	570.668	323.023	0	818.942	319.328	492.578	440.008	604.596	325.646	342.319	311.359	396.798	315.824	454.953	0	431.451	403.717	615.409
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0	0	288.736	0	0	0	126.957	203.888	97.9758	0	15.7591	232.958	0	139.01	135.162	0	0	0	114.605	0	0	122.891	33.2846	167.235	108.821	159.56	49.1066	147.299	192.273	0	183.289	240.121	125.572	0	0	260.863	0	242.594	0	51.2133	36.663	131.522	237.064	4.75292	157.822	190.473	0	17.324	0	125.363	21.34	139.408	166.041	169.613	0	124.513	0	39.0149	0	5.57912	62.1088	21.7901	241.507	32.9581	61.0852	65.7429	242.778	181.714	0	170.498	39.6263	51.0759
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	133.014	0	0	108.701	83.8086	114.641	0	0	5.48258	141.954	0	124.916	134.942	0	0	0	88.907	0	62.7366	60.5529	13.8601	92.5782	103.339	50.0074	46.9046	125.783	131.746	0	200.248	0	54.297	0	28.3691	0	0	179.376	0	51.0017	91.8964	151.646	116.818	26.0622	138.965	85.5664	29.7954	18.3159	0	123.544	49.4658	0	151.755	179.511	0	137.426	0	0	0	17.5211	61.284	23.0989	243.776	9.27226	0	149.713	117.402	132.429	0	59.8627	6.13575	57.0596
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	190.286	312.055	552.863	148.546	0	193.803	377.899	358.267	71.4172	0	6.31023	440.937	0	391.663	369.516	342.883	231.6	570.624	400.237	348.374	379.906	391.488	304.767	266.965	405.267	424.524	403.188	380.99	322.083	506.176	299.083	456.077	405.258	0	410.693	519.932	128.255	330.925	0	565.891	283.47	396.617	527.59	204.007	409.989	480.394	523.581	263.409	506.9	439.533	406.062	309.995	319.204	370.092	517.922	433.835	140.23	550.662	289.558	96.0101	368.039	705.457	345.79	250.835	372.769	434.074	400.271	432.18	0	403.637	312.077	264.575
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	21.4597	0	0	0	89.5795	5.86984	0	0	0	12.0325	0	100.599	20.0002	0	55.5894	0	0	0	30.1543	0	225.858	4.70152	0	5.26826	95.8744	141.781	192.192	0	221.454	247.121	25.9381	0	3.44029	325.829	0	267.902	0	8.37797	261.995	13.7799	126.339	94.2304	113.263	173.655	0	71.569	0	0	179.638	176.724	115.475	115.785	0	0	0	41.1051	0	0	67.9174	378.464	193.411	0	0	0	206.278	12.8887	0	0	0	173.715
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49357	0	8.396	0	0	20.0802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18311
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	0	0	0	0	9.76428	0	0	0	0	0	0	26.1971	0	0	0	0	0	0	13.733	0	0	0	0	0	0	17.1455	31.346	0	31.5977	0	0	0	0	214.939	0	126.026	0	14.5357	0	0	44.5596	0	133.093	19.4547	0	0	0	0	0	0	45.5868	0	0	0	0	0	0	0	0	0	34.5908	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0	298.196	505.394	1023.06	165.772	129.789	509.433	594.901	859.999	0	14.0288	704.08	0	657.87	644.833	872.988	176.633	0	736.347	1183.96	407.844	688.092	542.389	617.439	602.824	852.875	900.301	495.093	479.355	518.934	435.218	285.807	674.967	0	682.15	241.35	19.9223	797.872	1126.85	761.941	256.188	756.695	458.499	72.0016	477.03	358.828	416.723	37.7579	632.196	459.476	74.3129	278.758	517.507	967.774	553.171	514.479	0	106.002	315.041	934.639	682.902	374.855	541.523	1097.49	530.347	654.932	488.995	883.626	0	814.526	724.804	379.488
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0	0	0	0	7.6043	0	0	0	0	0	0	20.4771	0	0	0	0	0	0	0	0	0	0	0	0	0	9.47774	28.6425	0	26.6135	0	0	0	0	80.9913	0	60.6391	0	0	0	5.8905	0	0	30.7154	2.21383	0	0	0	0	0	0	27.8173	0	0	0	0	0	0	0	0	0	17.2717	0	0	0	34.0859	0	0	0	0	3.23178
ERGOSTEROL-SYN-PWY: superpathway of ergosterol biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1706
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0	0	0	0	0	16.7657	0	0	0	0	0	0	29.1067	2.21086	0	0	0	0	0	0	0	0	0	0	0	0	61.0137	131.453	0	136.879	0	0	0	0	235.732	0	158.874	0	0	0	4.98582	20.556	0	46.4313	8.13126	0	0	0	0	0	8.16493	46.465	0	0	0	0	0	0	0	0	0	111.754	0	0	2.10168	84.3447	0	0	0	0	10.6828
FASYN-ELONG-PWY: fatty acid elongation -- saturated	155.87	207.052	3.35693	0	229.328	202.799	124.992	151.397	254.306	0	5.58895	199.9	0	203.179	223.075	197.467	290.184	27.6408	233.87	0	66.1704	149.268	46.2069	290.476	138.734	189.373	269.817	233.029	304.112	0	329.621	218.309	183.721	0	196.164	534.628	100.789	354.014	0	7.23401	221.237	47.6934	118.465	117.698	190.355	184.414	56.9218	171.637	0	92.9365	34.0747	130.266	239.398	145.293	348.609	121.638	117.642	81.7709	0	26.6531	121.147	263.007	311.512	9.65876	0	155.672	241.266	38.3055	0	93.5947	210.9	112.582
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	386.789	485.853	775.018	193.574	310.539	382.418	464.456	511.221	0	545.46	507.767	0	464.547	467.544	700.672	239.779	565.542	484.096	591.487	343.092	531.72	201.796	489.279	475.599	589.562	612.783	364.558	388.259	542.46	332.836	447.698	551.056	131.979	603.923	364.504	482.766	410.591	455.366	260.259	278.1	479.455	435.27	110.861	468.813	450.351	579.501	93.7828	612.512	494.274	360.621	315.777	371.65	479.396	622.517	494.463	0	654.48	343.845	571.725	546.34	442.364	407.098	434.455	295.847	512.357	392.116	532.915	0	493.415	564.426	241.336
FERMENTATION-PWY: mixed acid fermentation	0	0	0	0	0	92.9118	71.2071	0	0	0	0	0	0	93.7085	15.5078	0	0	0	7.86968	0	0	0	130.657	0	4.4778	0	13.019	80.8459	145.911	0	179.594	128.385	4.33989	0	0	426.999	0	228.555	0	12.1057	122.821	12.1533	51.7644	0	73.0534	88.4109	0	21.9833	0	0	0	146.335	116.722	0	8.53641	4.71923	0	0	0	0	0	0	149.396	0	0	0	126.462	0	0	0	4.02671	156.782
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	14.769	0	0	0	27.4109	0	0	0	0	0	0	30.2935	13.7562	0	92.9996	0	0	0	0	3.77736	0	0	0	0	0	26.0024	60.8069	0	65.2874	237.938	0	0	0	224.602	0	64.6334	0	0	36.697	0	65.0522	0	11.1649	78.9626	0	0	0	5.55233	0	103.39	21.6506	0	0	0	0	0	0	0	0	455.943	43.7659	0	0	0	87.0819	0	0	0	0	155.345
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0	0	19.6611	0	0	0	52.8108	67.7549	0	0	0	102.164	0	77.8804	66.4804	0	0	0	0	0	0	41.5538	0	32.0868	82.0516	60.9526	110.356	112.817	114.522	0	157.054	8.68562	90.5638	0	0	262.469	0	142.821	0	0	10.1252	116.662	48.1881	9.43068	140.662	11.5605	0	0	0	36.6715	0	7.69279	142.14	174.905	0	77.046	0	0	0	0	0	0	175.782	0	0	157.032	174.259	51.0993	0	52.8414	9.91131	0
FUCCAT-PWY: fucose degradation	0	0	9.36152	0	0	0	27.9603	40.6685	0	0	0	60.4561	0	47.8815	40.1478	0	0	0	130.836	0	0	20.2545	0	15.5381	68.3059	33.259	60.5351	82.5963	109.841	0	170.628	86.6302	56.7618	0	0	226.212	0	129.916	0	0	5.79948	76.375	33.0343	8.49252	113.766	5.85901	0	0	0	19.2871	0	93.251	150.198	122.122	0	113.411	0	0	0	0	0	0	160.827	0	0	109.082	158.695	28.2336	0	26.8238	4.52613	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	3.81838	101.155	0	0	0	129.338	79.6589	0	0	0	107.05	0	118.754	89.3055	16.1509	0	0	92.2829	0	0	50.9359	0	37.4625	67.2049	25.0992	65.8151	130.952	138.882	0	118.439	0	45.1483	0	48.9301	5.74436	0	133.01	0	11.2306	18.8934	78.978	134.748	8.09665	74.7373	95.9064	0	0	0	102.049	0	1.64727	68.4486	78.2337	0	25.4004	0	0	0	13.1	25.0937	5.12124	138.117	56.8419	0	133.791	143.603	95.7627	0	120.275	6.00311	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0	155.151	0	0	0	45.821	67.7583	0	0	0	35.2289	0	46.6983	6.1237	11.0386	0	0	8.04429	0	0	21.2082	0	5.75301	28.9641	13.2713	14.0517	65.0052	119.874	0	102.588	143.755	9.6497	0	11.2199	239.28	0	174.809	0	93.4096	1.54315	23.5536	134.16	7.17654	77.2326	184.327	0	0	0	96.944	0	0	89.5081	47.3969	0	18.04	0	0	0	0	4.30584	10.3881	116.763	16.8245	27.6077	24.6311	137.045	93.8775	0	68.4367	21.0178	6.30647
GALACTUROCAT-PWY: D-galacturonate degradation I	0	4.11698	87.9324	0	89.3151	0	145.064	130.34	0	0	5.60752	76.8721	0	101.863	79.0697	10.0285	44.352	0	60.6209	3.85357	0	31.7861	13.1383	27.6586	70.4892	29.2042	41.4799	127.131	102.363	0	87.5558	133.475	34.0967	0	140.906	92.0878	0	174.186	0	141.964	17.9003	58.8145	125.968	7.66272	77.4851	100.173	0	0	0	161.689	0	33.5211	54.5425	52.4674	0	54.9991	0	0	0	15.0485	15.6007	12.0381	92.1566	50.8488	135.227	95.5523	108.606	110.978	0	135.246	6.823	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	0	0	209.746	0	0	69.7167	168.961	56.4484	0	0	0	197.988	0	148.705	183.415	16.0729	0	85.7835	120.433	239.374	0	68.5252	92.6235	29.6371	79.9187	10.945	138.757	79.8569	176.031	0	157.318	342.949	119.683	0	190.976	48.4757	0	230.832	0	272.549	53.9957	58.9123	221.573	22.8954	267.271	196.729	6.03456	15.843	0	134.099	86.0245	227.471	121.597	163.196	3.39991	41.5498	0	0	34.3157	7.29338	81.5809	446.579	151.489	83.5945	148.294	158.561	176.672	160.71	0	90.798	51.2701	71.789
GLUCARDEG-PWY: D-glucarate degradation I	0	0	134.245	0	0	0	28.7862	56.8455	0	0	0	28.1436	0	31.9069	5.32059	3.51126	0	0	7.39747	0	0	0	0	2.08452	27.2427	9.73242	0	33.8031	63.3265	0	79.3031	146.112	8.17443	0	0	209.801	0	127.102	0	107.685	1.63927	10.1281	100.818	0	64.6286	98.5187	7.47708	0	0	82.6961	0	0	78.9728	26.4738	0	16.8426	0	0	0	0	0	10.0711	70.9396	4.59215	27.7119	13.4558	113.608	77.0491	0	64.7734	16.3853	5.95094
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	155.151	0	0	0	45.821	67.7583	0	0	0	35.2289	0	46.6983	6.1237	11.0386	0	0	8.04429	0	0	21.2082	0	5.75301	28.9641	13.2713	14.0517	65.0052	119.874	0	102.588	143.755	9.6497	0	11.2199	239.28	0	174.809	0	93.4096	1.54315	23.5536	134.16	7.17654	77.2326	184.327	0	0	0	96.944	0	0	89.5081	47.3969	0	18.04	0	0	0	0	4.30584	10.3881	116.763	16.8245	27.6077	24.6311	137.045	93.8775	0	68.4367	21.0178	6.30647
GLUCONEO-PWY: gluconeogenesis I	0	120.289	88.4671	127.593	266.988	234.008	142.622	0	10.9444	0	49.6755	184.134	0	275.397	49.822	52.074	243.178	281.217	156.383	14.0118	51.1349	136.623	173.458	109.808	193.976	0	178.871	224.421	229.513	0	238.096	96.9181	163.604	305.427	313.353	401.961	538.671	324.256	0	41.6754	230.755	163.588	222.2	96.0875	266.242	161.109	115.072	143.61	66.7636	10.7115	464.079	348.417	248.464	244.978	237.344	22.7298	0	138.577	0	39.6238	183.469	115.441	254.691	337.514	0	195.028	303.225	133.782	0	239.381	18.1088	180.157
